date,market,rank,code,name,score,selected,target_weight
2026-09-08,a,281,688234.SH,天岳先进,0.22239471157835305,False,0.0
2026-09-08,a,282,000893.SZ,亚钾国际,0.22216226927757227,False,0.0
2026-09-08,a,283,000997.SZ,新 大 陆,0.22121907717348965,False,0.0
2026-09-08,a,284,689009.SH,九号公司,0.22068205078472394,False,0.0
2026-09-08,a,285,002085.SZ,万丰奥威,0.21950921311093677,False,0.0
2026-09-08,a,286,688599.SH,天合光能,0.21894052136956113,False,0.0
2026-09-08,a,287,688561.SH,奇安信,0.21697080376934408,False,0.0
2026-09-08,a,288,300677.SZ,英科医疗,0.2112471090094825,False,0.0
2026-09-08,a,289,600820.SH,隧道股份,0.20587433201295344,False,0.0
2026-09-08,a,290,600233.SH,圆通速递,0.2032745607807495,False,0.0
2026-09-08,a,291,002273.SZ,水晶光电,0.20312585966962715,False,0.0
2026-09-08,a,292,300476.SZ,胜宏科技,0.2017325111953958,False,0.0
2026-09-08,a,293,300666.SZ,江丰电子,0.20139525054676918,False,0.0
2026-09-08,a,294,600583.SH,海油工程,0.19326866602126702,False,0.0
2026-09-08,a,295,300763.SZ,锦浪科技,0.19121935505967774,False,0.0
2026-09-08,a,296,605589.SH,圣泉集团,0.1864432109220763,False,0.0
2026-09-08,a,297,300432.SZ,富临精工,0.18490891729692585,False,0.0
2026-09-08,a,298,002493.SZ,荣盛石化,0.17955349370872598,False,0.0
2026-09-08,a,299,688187.SH,时代电气,0.17768227479135626,False,0.0
2026-09-08,a,300,688065.SH,凯赛生物,0.17152234160435495,False,0.0
2026-09-08,a,301,688052.SH,纳芯微,0.16939849872667231,False,0.0
2026-09-08,a,302,603338.SH,浙江鼎力,0.1693356192230261,False,0.0
2026-09-08,a,303,002130.SZ,沃尔核材,0.1691373305551475,False,0.0
2026-09-08,a,304,001389.SZ,广合科技,0.16707636416571378,False,0.0
2026-09-08,a,305,600873.SH,梅花生物,0.16663187805285487,False,0.0
2026-09-08,a,306,600050.SH,中国联通,0.16502678094177559,False,0.0
2026-09-08,a,307,002430.SZ,杭氧股份,0.16440169518538034,False,0.0
2026-09-08,a,308,601608.SH,中信重工,0.1640156338736862,False,0.0
2026-09-08,a,309,603156.SH,养元饮品,0.1600842856391346,False,0.0
2026-09-08,a,310,600109.SH,国金证券,0.15809749522177585,False,0.0
2026-09-08,a,311,002583.SZ,海能达,0.14760224123903382,False,0.0
2026-09-08,a,312,600066.SH,宇通客车,0.14721275120881075,False,0.0
2026-09-08,a,313,601818.SH,光大银行,0.14528783960714878,False,0.0
2026-09-08,a,314,000830.SZ,鲁西化工,0.1429178603287377,False,0.0
2026-09-08,a,315,600754.SH,锦江酒店,0.1392837243474854,False,0.0
2026-09-08,a,316,688009.SH,中国通号,0.13698793489029026,False,0.0
2026-09-08,a,317,600741.SH,华域汽车,0.1360781933573218,False,0.0
2026-09-08,a,318,002487.SZ,大金重工,0.12139104900497473,False,0.0
2026-09-08,a,319,600316.SH,洪都航空,0.11319091660811945,False,0.0
2026-09-08,a,320,603659.SH,璞泰来,0.11250649064777267,False,0.0
2026-09-08,a,321,600295.SH,鄂尔多斯,0.10885428260869236,False,0.0
2026-09-08,a,322,002414.SZ,高德红外,0.10778819625144058,False,0.0
2026-09-08,a,323,002044.SZ,美年健康,0.10700116243225286,False,0.0
2026-09-08,a,324,601077.SH,渝农商行,0.1035353817502006,False,0.0
2026-09-08,a,325,600816.SH,建元信托,0.10125432910387004,False,0.0
2026-09-08,a,326,000408.SZ,藏格矿业,0.09839911764779616,False,0.0
2026-09-08,a,327,002736.SZ,国信证券,0.09503692562544147,False,0.0
2026-09-08,a,328,600016.SH,民生银行,0.09493783554878395,False,0.0
2026-09-08,a,329,300142.SZ,沃森生物,0.09230291145171107,False,0.0
2026-09-08,a,330,600157.SH,永泰能源,0.09220429421656894,False,0.0
2026-09-08,a,331,000738.SZ,航发控制,0.09135682888320647,False,0.0
2026-09-08,a,332,600378.SH,昊华科技,0.09075238728926982,False,0.0
2026-09-08,a,333,002773.SZ,康弘药业,0.08961956929303826,False,0.0
2026-09-08,a,334,603486.SH,科沃斯,0.077022385125673,False,0.0
2026-09-08,a,335,688520.SH,神州细胞,0.07694909778757947,False,0.0
2026-09-08,a,336,600699.SH,均胜电子,0.07668085629463181,False,0.0
2026-09-08,a,337,601995.SH,中金公司,0.07654466283795298,False,0.0
2026-09-08,a,338,601288.SH,农业银行,0.07127662219974831,False,0.0
2026-09-08,a,339,600637.SH,东方明珠,0.06926346080676411,False,0.0
2026-09-08,a,340,300223.SZ,君正股份,0.06919084257737788,False,0.0
2026-09-08,a,341,002423.SZ,中粮资本,0.06723648319651064,False,0.0
2026-09-08,a,342,601318.SH,中国平安,0.06629542993543859,False,0.0
2026-09-08,a,343,600369.SH,西南证券,0.06414013783366082,False,0.0
2026-09-08,a,344,600606.SH,绿地控股,0.06270223908390714,False,0.0
2026-09-08,a,345,601699.SH,潞安环能,0.05960870595921423,False,0.0
2026-09-08,a,346,688188.SH,柏楚电子,0.05909843756494505,False,0.0
2026-09-08,a,347,002078.SZ,太阳纸业,0.058392504293984404,False,0.0
2026-09-08,a,348,002683.SZ,广东宏大,0.05636334059400642,False,0.0
2026-09-08,a,349,002938.SZ,鹏鼎控股,0.0557339751348781,False,0.0
2026-09-08,a,350,600938.SH,中国海油,0.05550211393811463,False,0.0
2026-09-08,a,351,603806.SH,福斯特,0.05342898955776246,False,0.0
2026-09-08,a,352,601899.SH,紫金矿业,0.05242045754169203,False,0.0
2026-09-08,a,353,600346.SH,恒力石化,0.05074378159936964,False,0.0
2026-09-08,a,354,300627.SZ,华测导航,0.04587999911528672,False,0.0
2026-09-08,a,355,600011.SH,华能国际,0.04299653512552394,False,0.0
2026-09-08,a,356,603529.SH,爱玛科技,0.0420960565332304,False,0.0
2026-09-08,a,357,688411.SH,海博思创,0.03869150175256166,False,0.0
2026-09-08,a,358,603596.SH,伯特利,0.03750882119991946,False,0.0
2026-09-08,a,359,601066.SH,中信建投,0.03471661683660373,False,0.0
