as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id,data_available,history_ok,average_daily_amount_hkd,liquidity_ok,trading_at_review,eligible,selected,effective_from,factors_complete,trading_at_signal,ready_for_scoring
2026-06-30,06818.HK,中国光大银行,173121000000.0,HSCI.HK,2014-03-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,56146092.81666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00788.HK,中国铁塔,155063000000.0,HSCI.HK,2018-12-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,161551880.66666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01113.HK,长实集团,154620000000.0,HSCI.HK,2015-06-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,260880665.86666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06886.HK,HTSC,150749000000.0,HSCI.HK,2015-09-14,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,158713692.06666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01038.HK,长江基建集团,150421000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,142082599.86666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06099.HK,招商证券,150189000000.0,HSCI.HK,2023-03-13,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,90774336.45,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01336.HK,新华保险,143562000000.0,HSCI.HK,2012-03-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,470827269.3333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02269.HK,药明生物,143360000000.0,HSCI.HK,2017-09-04,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,961959448.5333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01801.HK,信达生物,138364000000.0,HSCI.HK,2020-09-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1097378842.6666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01988.HK,民生银行,137477000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,88661399.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01816.HK,中广核电力,135336999999.99998,HSCI.HK,2015-03-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,180026568.13333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03606.HK,福耀玻璃,133619000000.0,HSCI.HK,2015-09-14,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,164182021.6,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01776.HK,广发证券,132944000000.0,HSCI.HK,2015-09-14,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,158874896.35,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00148.HK,建滔集团,132258000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2130234803.4666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02057.HK,中通快递-W,132115000000.00002,HSCI.HK,2020-12-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,363322482.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00688.HK,中国海外发展,131995000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,520026773.06666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01898.HK,中煤能源,130598000000.0,HSCI.HK,2007-03-12,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,286514450.73333335,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02423.HK,贝壳-W,130049000000.0,HSCI.HK,2022-09-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,597053432.5333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01766.HK,中国中车,128858000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,124073051.06666666,True,True,True,True,2026-07-01,True,True,True
