windcode,name,market_cap_hkd
01060.HK,大麦娱乐,13638999999.999998
01055.HK,中国南方航空股份,61429999999.99999
01052.HK,越秀交通基建,6040000000.0
01044.HK,恒安国际,25265000000.0
01038.HK,长江基建集团,150421000000.0
01030.HK,新城发展,9661000000.0
01024.HK,快手-W,179999000000.0
00999.HK,小菜园,8223999999.999999
00998.HK,中信银行,370040000000.0
00992.HK,联想集团,285555000000.0
00991.HK,大唐发电,44416000000.0
00990.HK,至源控股,7548999999.999999
00981.HK,中芯国际,765336000000.0
00975.HK,MONGOL MINING,6434000000.0
00968.HK,信义光能,18843000000.0
00966.HK,中国太平,64764000000.0
00960.HK,龙湖集团,42442000000.0
00956.HK,新天绿色能源,13988999999.999998
00941.HK,中国移动,1650887000000.0
00939.HK,建设银行,2111115000000.0
00934.HK,中石化冠德,8726000000.0
00921.HK,海信家电,33735000000.000004
00917.HK,趣致集团,2207000000.0
00916.HK,龙源电力,41799000000.0
00914.HK,海螺水泥,88869000000.0
00909.HK,明源云,2329000000.0
00902.HK,华能国际电力股份,86026000000.0
00883.HK,中国海洋石油,965809000000.0
00881.HK,中升控股,11570000000.0
00880.HK,澳博控股,10369000000.0
00868.HK,信义玻璃,37738000000.0
00867.HK,康哲药业,25078000000.0
00863.HK,OSL集团,10403000000.0
00857.HK,中国石油股份,1552018000000.0
00856.HK,伟仕佳杰,12684000000.0
00855.HK,中国水务,7150000000.0
00853.HK,微创医疗,11830000000.0
00839.HK,中教控股,4789000000.0
00836.HK,华润电力,87596000000.0
00826.HK,天工国际,9674000000.0
00823.HK,领展房产基金,95494000000.0
00819.HK,天能动力,5315000000.0
00817.HK,中国金茂,16619999999.999998
00800.HK,文远知行-W,14865000000.0
00788.HK,中国铁塔,155063000000.0
00780.HK,同程旅行,28228000000.0
00778.HK,置富产业信托,9072000000.0
00772.HK,阅文集团,19326000000.0
00763.HK,中兴通讯,109256000000.0
00762.HK,中国联通,186955000000.0
00754.HK,合生创展集团,10012000000.0
00753.HK,中国国航,86888000000.0
00751.HK,创维集团,7984000000.0
00728.HK,中国电信,390735000000.0
00700.HK,腾讯控股,3907843000000.0
00697.HK,首程控股,12852000000.000002
00696.HK,中国民航信息网络,23644000000.0
00688.HK,中国海外发展,131995000000.0
00683.HK,嘉里建设,26182000000.0
00670.HK,中国东方航空股份,69797000000.0
00669.HK,创科实业,236786000000.0
00667.HK,中国东方教育,8119000000.0
00666.HK,瑞浦兰钧,31548000000.0
00659.HK,周大福创建,35206000000.0
00656.HK,复星国际,32379000000.000004
00639.HK,首钢资源,10997000000.0
00636.HK,KLN,9923000000.0
00631.HK,三一国际,21844000000.0
