windcode,name,mktcap_hkd_yi
00345.HK,维他奶国际,65.327
00737.HK,湾区发展,65.3011
02256.HK,和誉-B,64.9591
02436.HK,凌雄科技,64.8584
02558.HK,晋商银行,64.809
00173.HK,嘉华国际,64.6309
06078.HK,海吉亚医疗,64.5713
02555.HK,茶百道,62.9472
06871.HK,翼菲科技,62.7082
01757.HK,环球华商俱乐部,62.46
01448.HK,福寿园,61.2444
00588.HK,北京北辰实业股份,60.7269
03952.HK,来福谐波,60.3984
03316.HK,滨江服务,60.312
01951.HK,锦欣生殖,59.511
06168.HK,周六福,59.1747
01280.HK,奇点国峰,58.579
00604.HK,深圳控股,58.2871
01052.HK,越秀交通基建,58.0587
09936.HK,稀美资源,57.8084
06687.HK,聚水潭,57.4559
01021.HK,华沿机器人,57.0436
00866.HK,中国秦发,56.4894
00613.HK,梧桐国际,56.332
02451.HK,绿源集团控股,55.168
01858.HK,春立医疗,55.0268
00215.HK,和记电讯香港,54.9377
01789.HK,爱康医疗,54.5
00775.HK,长江生命科技,53.822
00315.HK,数码通电讯,53.5613
00839.HK,中教控股,52.6459
02339.HK,京西国际,52.5951
01921.HK,达力普控股,52.1769
02659.HK,宝济药业-B,52.157
01896.HK,猫眼娱乐,51.5448
02041.HK,麦科田,51.4927
02575.HK,轩竹生物-B,51.2768
03613.HK,同仁堂国药,50.4353
06915.HK,江西生物,50.0805
