market,fee_per_side,signal_date,date,code,side,adjusted_units,adjusted_close,raw_close,gross_notional,fee_paid,cash_after_trade,daily_capacity_notional,account_evidence_status
a,0.003,2023-10-31,2023-11-01,603444.SH,sell,171.3138744317355,348.08157185458,276.63,59631.202692696635,178.8936080780899,1142778.7761724829,5570513.5200000005,complete_account
a,0.003,2023-10-31,2023-11-01,603766.SH,sell,4249.906489537459,17.534086676402,5.55,74518.22875415316,223.55468626245948,1217073.4502403736,779509.87,complete_account
a,0.003,2023-10-31,2023-11-01,603920.SH,sell,2940.5105918169,28.142521164154,17.88,82753.38156362611,248.26014469087835,1299578.5716593089,1381328.1500000001,complete_account
a,0.003,2023-10-31,2023-11-01,688018.SH,sell,746.8449131733146,105.95528694613,103.37,79132.1670795361,237.3965012386083,1378473.3422376064,720480.1900000001,complete_account
a,0.003,2023-10-31,2023-11-01,688188.SH,sell,208.3006792901914,337.54814898458,236.08,70311.50872663474,210.93452617990422,1448573.9164380613,1271189.36,complete_account
a,0.003,2023-10-31,2023-11-01,688248.SH,sell,2775.669277456883,26.675505706252,26.5,74042.38164946945,222.12714494840836,1522394.1709425824,678191.65,complete_account
a,0.003,2023-10-31,2023-11-01,688343.SH,sell,1703.0413029887009,45.91,45.91,78186.62622021126,234.55987866063379,1600346.237284133,1505485.9000000001,complete_account
a,0.003,2023-10-31,2023-11-01,688608.SH,sell,691.9430523092401,126.47211012518,126.05,87511.4979120074,262.5344937360222,1687595.2007024044,1497631.05,complete_account
a,0.003,2023-10-31,2023-11-01,000415.SZ,buy,1995.9197094439273,37.727055911825,2.38,75300.17447370455,225.90052342111366,1612069.1257052787,1421182.438,complete_account
a,0.003,2023-10-31,2023-11-01,000528.SZ,buy,80.6108799692538,61.461503394712,6.33,4954.465872881014,14.863397618643042,1607099.796434779,1118480.6564,complete_account
a,0.003,2023-10-31,2023-11-01,000737.SZ,buy,5021.869258139208,14.994451389124,5.56,75300.17447370455,225.90052342111366,1531573.7214376533,1002059.7426000001,complete_account
a,0.003,2023-10-31,2023-11-01,001696.SZ,buy,18.394134697150548,134.69680201681,6.34,2477.631119572623,7.432893358717869,1529088.6574247219,650183.9235,complete_account
a,0.003,2023-10-31,2023-11-01,002423.SZ,buy,9842.546279205388,7.6504770551898,7.18,75300.17447370455,225.90052342111366,1453562.5824275962,865669.7840999999,complete_account
a,0.003,2023-10-31,2023-11-01,002851.SZ,buy,166.99681764411594,59.425510772829,25.7,9923.871185938571,29.771613557815716,1443608.9396280998,1795516.6589,complete_account
a,0.003,2023-10-31,2023-11-01,300002.SZ,buy,64.14540825720462,133.87944144018,8.64,8587.751428426864,25.763254285280592,1434995.4249453878,9998947.5391,complete_account
a,0.003,2023-10-31,2023-11-01,300548.SZ,buy,1119.8624320345152,67.240557696808,24.08,75300.17447370455,225.90052342111366,1359469.349948262,2053397.84,complete_account
a,0.003,2023-10-31,2023-11-01,300570.SZ,buy,1188.6936330645972,63.346999074582,31.7,75300.17447370455,225.90052342111366,1283943.2749511364,3017721.7581,complete_account
a,0.003,2023-10-31,2023-11-01,300620.SZ,buy,842.9022142873062,89.334412933501,38.45,75300.17447370455,225.90052342111366,1208417.1999540108,2141156.1893,complete_account
a,0.003,2023-10-31,2023-11-01,300757.SZ,buy,916.9926958853458,82.116438671306,62.41,75300.17447370455,225.90052342111366,1132891.1249568851,1001892.28,complete_account
a,0.003,2023-10-31,2023-11-01,600000.SH,buy,917.90751286282,82.034598713387,6.86,75300.17447370455,225.90052342111366,1057365.0499597595,1934516.03,complete_account
a,0.003,2023-10-31,2023-11-01,600131.SH,buy,1358.935366640295,55.411152231522,13.65,75300.17447370455,225.90052342111366,981838.9749626338,918020.8200000001,complete_account
a,0.003,2023-10-31,2023-11-01,600208.SH,buy,5821.359205138435,12.935153427268,2.37,75300.17447370455,225.90052342111366,906312.8999655081,940103.96,complete_account
a,0.003,2023-10-31,2023-11-01,601186.SH,buy,6945.102157129942,10.842198252822,7.95,75300.17447370455,225.90052342111366,830786.8249683825,2949907.61,complete_account
a,0.003,2023-10-31,2023-11-01,601398.SH,buy,7021.330302461497,10.724488270735,4.77,75300.17447370455,225.90052342111366,755260.7499712568,10293435.89,complete_account
