market,signal_date,entry_date,exit_date,code,rank,entry_adjusted_close,exit_adjusted_close,qveris_gross_return,observable_signal_bar,original_label_start,original_label_end,original_fwd_ret,return_difference
a,2025-06-30,2025-07-01,2025-08-01,600105.SH,22,75.755718303117,79.779694102128,0.053117782909932965,True,2025-07-01,2025-08-01,0.05324077606201172,-0.00012299315207875416
a,2025-06-30,2025-07-01,2025-08-01,605499.SH,23,443.99679506196,393.41400818282,-0.11392601802920921,True,2025-07-01,2025-08-01,-0.11395174264907837,2.5724619869160747e-05
a,2025-06-30,2025-07-01,2025-08-01,000623.SZ,24,386.41662124717,441.87956561023,0.14353146659181437,True,2025-07-01,2025-08-01,0.14294517040252686,0.0005862961892875163
a,2025-06-30,2025-07-01,2025-08-01,603256.SH,25,16.945249966099,26.914878627135,0.5883435582821992,True,2025-07-01,2025-08-01,0.5887045860290527,-0.0003610277468535372
a,2025-06-30,2025-07-01,2025-08-01,600435.SH,26,154.41071980111,171.08707753963,0.10800000000000076,True,2025-07-01,2025-08-01,0.10814428329467773,-0.00014428329467697232
a,2025-06-30,2025-07-01,2025-08-01,000537.SZ,27,33.976310588091,35.191196544757,0.03575685339690238,True,2025-07-01,2025-08-01,0.03527975082397461,0.0004771025729277678
a,2025-06-30,2025-07-01,2025-08-01,601019.SH,28,13.485752090758,12.726387530903,-0.056308654848801765,True,2025-07-01,2025-08-01,-0.05549502372741699,-0.0008136311213847724
a,2025-06-30,2025-07-01,2025-08-01,601988.SH,29,14.354429721105,14.100369018077,-0.017699115044219393,True,2025-07-01,2025-08-01,-0.018416166305541992,0.0007170512613225988
a,2025-06-30,2025-07-01,2025-08-01,601001.SH,30,29.939058243639,34.646896872543,0.1572473853583638,True,2025-07-01,2025-08-01,0.15605390071868896,0.0011934846396748355
a,2025-07-31,2025-08-01,2025-09-01,001203.SZ,1,12.431142301313,13.038068167811,0.04882301656492949,True,2025-08-01,2025-09-01,0.04916584491729736,-0.00034282835236787434
