windcode,成分券名称,index
300390.SZ,天华新能,CSI500
300395.SZ,菲利华,CSI500
300432.SZ,富临精工,CSI500
300454.SZ,深信服,CSI500
300458.SZ,全志科技,CSI500
300474.SZ,景嘉微,CSI500
300475.SZ,香农芯创,CSI500
300487.SZ,蓝晓科技,CSI500
300496.SZ,中科创达,CSI500
300548.SZ,长芯博创,CSI500
300558.SZ,贝达药业,CSI500
300567.SZ,精测电子,CSI500
300570.SZ,太辰光,CSI500
300604.SZ,长川科技,CSI500
300620.SZ,光库科技,CSI500
300623.SZ,捷捷微电,CSI500
300627.SZ,华测导航,CSI500
300666.SZ,江丰电子,CSI500
300676.SZ,华大基因,CSI500
300677.SZ,英科医疗,CSI500
300679.SZ,电连技术,CSI500
300699.SZ,光威复材,CSI500
300718.SZ,长盛轴承,CSI500
300724.SZ,捷佳伟创,CSI500
300735.SZ,光弘科技,CSI500
300748.SZ,金力永磁,CSI500
300751.SZ,迈为股份,CSI500
300757.SZ,罗博特科,CSI500
300759.SZ,康龙化成,CSI500
300763.SZ,锦浪科技,CSI500
300857.SZ,协创数据,CSI500
300888.SZ,稳健医疗,CSI500
300919.SZ,中伟新材,CSI500
300953.SZ,震裕科技,CSI500
300957.SZ,贝泰妮,CSI500
300972.SZ,万辰集团,CSI500
301200.SZ,大族数控,CSI500
301301.SZ,川宁生物,CSI500
301358.SZ,湖南裕能,CSI500
301377.SZ,鼎泰高科,CSI500
301498.SZ,乖宝宠物,CSI500
301526.SZ,国际复材,CSI500
301536.SZ,星宸科技,CSI500
301606.SZ,绿联科技,CSI500
301611.SZ,珂玛科技,CSI500
600004.SH,白云机场,CSI500
600008.SH,首创环保,CSI500
600021.SH,上海电力,CSI500
600032.SH,浙江新能,CSI500
600038.SH,中直股份,CSI500
600060.SH,海信视像,CSI500
600062.SH,华润双鹤,CSI500
600095.SH,湘财股份,CSI500
600098.SH,广州发展,CSI500
600100.SH,同方股份,CSI500
600105.SH,永鼎股份,CSI500
600109.SH,国金证券,CSI500
600126.SH,杭钢股份,CSI500
600131.SH,国网信通,CSI500
600132.SH,重庆啤酒,CSI500
600141.SH,兴发集团,CSI500
600143.SH,金发科技,CSI500
600153.SH,建发股份,CSI500
600157.SH,永泰能源,CSI500
600161.SH,天坛生物,CSI500
600166.SH,福田汽车,CSI500
600170.SH,上海建工,CSI500
600171.SH,上海贝岭,CSI500
600177.SH,雅戈尔,CSI500
600208.SH,衢州发展,CSI500
600256.SH,广汇能源,CSI500
600282.SH,南钢股份,CSI500
600292.SH,电投水电,CSI500
600295.SH,鄂尔多斯,CSI500
600298.SH,安琪酵母,CSI500
600299.SH,安迪苏,CSI500
600312.SH,平高电气,CSI500
600316.SH,洪都航空,CSI500
600329.SH,达仁堂,CSI500
600332.SH,白云山,CSI500
600339.SH,中油工程,CSI500
600348.SH,华阳股份,CSI500
600350.SH,山东高速,CSI500
600352.SH,浙江龙盛,CSI500
600363.SH,联创光电,CSI500
600369.SH,西南证券,CSI500
600377.SH,宁沪高速,CSI500
600378.SH,昊华科技,CSI500
600380.SH,健康元,CSI500
600390.SH,五矿资本,CSI500
600392.SH,盛和资源,CSI500
600398.SH,海澜之家,CSI500
600435.SH,北方导航,CSI500
600483.SH,福能股份,CSI500
600486.SH,扬农化工,CSI500
600497.SH,驰宏锌锗,CSI500
600498.SH,烽火通信,CSI500
600499.SH,科达制造,CSI500
600511.SH,国药股份,CSI500
600516.SH,方大炭素,CSI500
600517.SH,国网英大,CSI500
600521.SH,华海药业,CSI500
600535.SH,天士力,CSI500
600536.SH,中国软件,CSI500
600546.SH,山煤国际,CSI500
600562.SH,国睿科技,CSI500
600563.SH,法拉电子,CSI500
600566.SH,济川药业,CSI500
600578.SH,京能电力,CSI500
600582.SH,天地科技,CSI500
600583.SH,海油工程,CSI500
600595.SH,中孚实业,CSI500
600598.SH,北大荒,CSI500
600601.SH,方正科技,CSI500
600602.SH,云赛智联,CSI500
600606.SH,绿地控股,CSI500
600637.SH,东方明珠,CSI500
600642.SH,申能股份,CSI500
600655.SH,豫园股份,CSI500
600663.SH,陆家嘴,CSI500
600685.SH,中船防务,CSI500
600688.SH,上海石化,CSI500
600699.SH,均胜电子,CSI500
600704.SH,物产中大,CSI500
600707.SH,彩虹股份,CSI500
600711.SH,盛屯矿业,CSI500
600737.SH,中粮糖业,CSI500
600754.SH,锦江酒店,CSI500
600763.SH,通策医疗,CSI500
600764.SH,中国海防,CSI500
600765.SH,中航重机,CSI500
600801.SH,华新建材,CSI500
600808.SH,马钢股份,CSI500
600816.SH,建元信托,CSI500
600820.SH,隧道股份,CSI500
600848.SH,上海临港,CSI500
600862.SH,中航高科,CSI500
600863.SH,华能蒙电,CSI500
600871.SH,石化油服,CSI500
600873.SH,梅花生物,CSI500
600879.SH,航天电子,CSI500
600884.SH,杉杉股份,CSI500
600885.SH,宏发股份,CSI500
600901.SH,江苏金租,CSI500
600906.SH,财达证券,CSI500
600909.SH,华安证券,CSI500
600927.SH,永安期货,CSI500
600967.SH,内蒙一机,CSI500
600968.SH,海油发展,CSI500
600970.SH,中材国际,CSI500
600977.SH,中国电影,CSI500
600985.SH,淮北矿业,CSI500
600988.SH,赤峰黄金,CSI500
600995.SH,南网储能,CSI500
600998.SH,九州通,CSI500
601000.SH,唐山港,CSI500
601001.SH,晋控煤业,CSI500
601016.SH,节能风电,CSI500
601019.SH,山东出版,CSI500
601098.SH,中南传媒,CSI500
601099.SH,太平洋,CSI500
601106.SH,中国一重,CSI500
601108.SH,财通证券,CSI500
601112.SH,振石股份,CSI500
601118.SH,海南橡胶,CSI500
601128.SH,常熟银行,CSI500
601139.SH,深圳燃气,CSI500
601155.SH,新城控股,CSI500
601156.SH,东航物流,CSI500
601162.SH,天风证券,CSI500
601179.SH,中国西电,CSI500
601198.SH,东兴证券,CSI500
601212.SH,白银有色,CSI500
601216.SH,君正集团,CSI500
601228.SH,广州港,CSI500
601233.SH,桐昆股份,CSI500
601236.SH,红塔证券,CSI500
601298.SH,青岛港,CSI500
601399.SH,国机重装,CSI500
601555.SH,东吴证券,CSI500
601567.SH,三星电气,CSI500
601577.SH,长沙银行,CSI500
601598.SH,中国外运,CSI500
601608.SH,中信重工,CSI500
601611.SH,中国核建,CSI500
601615.SH,明阳智能,CSI500
601665.SH,齐鲁银行,CSI500
601666.SH,平煤股份,CSI500
601696.SH,中银证券,CSI500
601699.SH,潞安环能,CSI500
601717.SH,中创智领,CSI500
601799.SH,星宇股份,CSI500
