market,fee_per_side,signal_date,date,code,side,adjusted_units,adjusted_close,raw_close,gross_notional,fee_paid,cash_after_trade,daily_capacity_notional,account_evidence_status
hk,0.005,2024-12-31,2025-01-17,01396.HK,sell,69868.29219541987,0.025452318127744,0.205,1778.31,8.89155,99633.58732896156,1778.31,complete_account
hk,0.005,2024-12-31,2025-01-20,01396.HK,sell,94636.30192311943,0.031039412350908,0.25,2937.455198756732,14.68727599378366,102556.3552517245,3237.67,complete_account
hk,0.005,2024-12-31,2025-01-20,03928.HK,sell,39.51219512195122,3.28,3.28,129.6,0.648,102685.3072517245,129.6,complete_account
hk,0.005,2024-12-31,2025-01-21,03928.HK,sell,1312.9813664596272,3.22,3.22,4227.8,21.139000000000003,106891.9682517245,4227.8,complete_account
hk,0.005,2024-12-31,2025-01-22,03928.HK,sell,95.93846153846154,3.25,3.25,311.8,1.5590000000000002,107202.20925172449,311.8,complete_account
hk,0.005,2024-12-31,2025-01-22,09677.HK,sell,116.13831220060224,3.2573230386418,2.91,378.29999999999575,1.8914999999999789,107578.61775172448,462.7,complete_account
hk,0.005,2024-12-31,2025-01-23,03928.HK,sell,178.72483221476512,2.98,2.98,532.6,2.6630000000000003,108108.55475172448,532.6,complete_account
hk,0.005,2024-12-31,2025-01-24,03928.HK,sell,97.53246753246754,3.08,3.08,300.40000000000003,1.5020000000000002,108407.45275172449,300.40000000000003,complete_account
hk,0.005,2024-12-31,2025-01-27,03928.HK,sell,159.0,3.0,3.0,477.0,2.3850000000000002,108882.06775172449,477.0,complete_account
hk,0.005,2024-12-31,2025-01-28,03928.HK,sell,149.7560975609756,3.28,3.28,491.2,2.456,109370.8117517245,491.2,complete_account
hk,0.005,2025-01-28,2025-02-03,00144.HK,sell,2254.1025499667503,46.220847106688,13.16,104186.52932480871,520.9326466240435,213036.40842990915,259839.17,complete_account
hk,0.005,2025-01-28,2025-02-03,00293.HK,sell,106.65365381774109,36.415718522949,10.4,3883.8694368709043,19.41934718435452,216900.8585195957,609270.46,complete_account
hk,0.005,2025-01-28,2025-02-03,00934.HK,sell,2666.648035116735,11.627556239773,4.37,31006.600000000002,155.03300000000002,247752.4255195957,31006.600000000002,complete_account
hk,0.005,2025-01-28,2025-02-03,02142.HK,sell,23267.961768485635,3.74,3.74,87022.17701413628,435.11088507068143,334339.4916486613,149386.65,complete_account
hk,0.005,2025-01-28,2025-02-03,03933.HK,sell,5592.890666989199,17.485275973345,11.3,97793.23680105174,488.9661840052587,431643.76226570783,235133.0,complete_account
hk,0.005,2025-01-28,2025-02-03,00019.HK,buy,25.296338141319584,384.1261167862,67.4,9716.984139135731,48.584920695678655,421878.1932058764,1182792.32,complete_account
hk,0.005,2025-01-28,2025-02-03,00087.HK,buy,85.7934051621967,88.036785995834,10.98,7552.975650118191,37.764878250590954,414287.4526775076,34843.94,complete_account
hk,0.005,2025-01-28,2025-02-03,00152.HK,buy,8331.0648977463,12.666949129441,6.95,105529.17525382398,527.6458762691199,308230.63154741446,248943.92,complete_account
hk,0.005,2025-01-28,2025-02-03,00177.HK,buy,177.01235853357443,29.075782266688,8.62,5146.7727952351215,25.73386397617561,303058.12488820317,538431.78,complete_account
hk,0.005,2025-01-28,2025-02-03,00315.HK,buy,160.5807571351415,42.965754402373,4.13,6899.473372815596,34.49736686407798,296124.15414852346,14189.0,complete_account
hk,0.005,2025-01-28,2025-02-03,00517.HK,buy,253.7882916327625,16.138157742894,4.35,4095.6754836691066,20.478377418345534,292008.000287436,18229.0,complete_account
hk,0.005,2025-01-28,2025-02-03,00737.HK,buy,293.3723328356284,11.126535254778,1.87,3264.217604072085,16.321088020360428,288727.46159534354,3497.3,complete_account
hk,0.005,2025-01-28,2025-02-03,00939.HK,buy,5829.015238455217,18.104117237098,6.31,105529.17525382398,527.6458762691199,182670.64046525044,11191247.06,complete_account
hk,0.005,2025-01-28,2025-02-03,01398.HK,buy,7397.002433512082,14.2664783745,5.28,105529.17525382398,527.6458762691199,76613.81933515734,10970065.01,complete_account
hk,0.005,2025-01-28,2025-02-03,01681.HK,buy,690.4039694233223,13.906333879606,7.83,9600.988110606013,48.00494055303007,66964.82628399829,135011.3,complete_account
hk,0.005,2025-01-28,2025-02-03,01866.HK,buy,1151.8836119084867,6.6385874878888,3.97,7646.880133519839,38.234400667599196,59279.71174981086,58699.54,complete_account
hk,0.005,2025-01-28,2025-02-03,03618.HK,buy,101.64058126014199,11.967258047573,4.79,1216.3590640454318,6.081795320227159,58057.2708904452,196047.22,complete_account
hk,0.005,2025-01-28,2025-02-03,09858.HK,buy,31145.42270467903,1.8547967479675,1.83,57768.428746711805,288.84214373355906,-1.6007106751203537e-10,61893.4,complete_account
hk,0.005,2025-01-28,2025-02-04,00934.HK,sell,5627.342701546448,11.787202320868,4.43,66330.62695198788,331.6531347599394,65998.97381722779,106209.16,complete_account
hk,0.005,2025-01-28,2025-02-04,03928.HK,sell,94.57317073170732,3.28,3.28,310.2,1.551,66307.62281722779,310.2,complete_account
hk,0.005,2025-01-28,2025-02-04,00019.HK,buy,1.4185533956170073,382.98627667704,67.2,543.2864832549297,2.7164324162746487,65761.61990155658,563377.21,complete_account
hk,0.005,2025-01-28,2025-02-04,00087.HK,buy,4.811072872859436,87.876427551397,10.96,422.77989675632364,2.1138994837816183,65336.72610531648,18769.78,complete_account
hk,0.005,2025-01-28,2025-02-04,00152.HK,buy,467.1846309841968,12.612271651184,6.92,5892.259477230844,29.46129738615422,59415.00533069948,94517.90000000001,complete_account
hk,0.005,2025-01-28,2025-02-04,00177.HK,buy,9.926396495065168,28.131325302109,8.34,279.24268888039285,1.3962134444019643,59134.366428374684,1213497.41,complete_account
hk,0.005,2025-01-28,2025-02-04,00315.HK,buy,9.00495467099748,42.549621187823,4.09,383.15741006446,1.9157870503223,58749.2932312599,9795.960000000001,complete_account
hk,0.005,2025-01-28,2025-02-04,00517.HK,buy,14.231792793576167,16.175256956096,4.36,230.20290538200982,1.1510145269100491,58517.93931135098,38141.200000000004,complete_account
hk,0.005,2025-01-28,2025-02-04,00737.HK,buy,25.453192049164695,11.06703506625,1.86,281.69136895610137,1.4084568447805068,58234.839485550096,5235.75,complete_account
hk,0.005,2025-01-28,2025-02-04,00939.HK,buy,326.87613967761047,18.39102876225,6.41,6011.588486504182,30.05794243252091,52193.193056613396,20605404.46,complete_account
hk,0.005,2025-01-28,2025-02-04,01398.HK,buy,414.8048172358361,14.563696673969,5.39,6041.091537123865,30.205457685619326,46121.89606180391,15382534.13,complete_account
hk,0.005,2025-01-28,2025-02-04,01681.HK,buy,38.71607383256775,14.030656149284,7.9,543.2119193950501,2.7160595969752506,45575.96808281189,86924.34,complete_account
hk,0.005,2025-01-28,2025-02-04,01866.HK,buy,64.5946618795144,6.6720312535708,3.99,430.97760287395846,2.154888014369792,45142.83559192356,28119.5,complete_account
hk,0.005,2025-01-28,2025-02-04,03618.HK,buy,5.699741633495287,11.967258047573,4.79,68.21027893253336,0.34105139466266676,45074.28426159637,342557.15,complete_account
hk,0.005,2025-01-28,2025-02-04,09858.HK,buy,23412.928415288137,1.9156097560976,1.89,44850.034091140675,224.25017045570337,-7.275957614183426e-12,63418.29,complete_account
hk,0.005,2025-01-28,2025-02-05,03928.HK,sell,77.54716981132074,3.18,3.18,246.6,1.233,245.36699999999271,246.6,complete_account
hk,0.005,2025-01-28,2025-02-05,00019.HK,buy,0.0052228970472563765,371.87283561275,65.25,1.9422535350766879,0.00971126767538344,243.41503519724066,1008309.3200000001,complete_account
hk,0.005,2025-01-28,2025-02-05,00087.HK,buy,0.01771363586272317,85.952126218154,10.72,1.5225246654552012,0.0076126233272760056,241.88489790845819,60766.5,complete_account
hk,0.005,2025-01-28,2025-02-05,00152.HK,buy,1.72010249119276,12.612271651184,6.92,21.694399886801424,0.10847199943400712,220.08202602222275,161468.54,complete_account
hk,0.005,2025-01-28,2025-02-05,00177.HK,buy,0.03654747653782881,27.794019243331,8.24,1.0158012661876021,0.005079006330938011,219.0611457497042,563969.67,complete_account
hk,0.005,2025-01-28,2025-02-05,00315.HK,buy,0.03315486840829908,43.069787706011,4.14,1.4279731437661722,0.007139865718830862,217.6260327402192,6163.7,complete_account
hk,0.005,2025-01-28,2025-02-05,00517.HK,buy,0.05239928845004268,16.138157742894,4.35,0.8456279826221923,0.0042281399131109615,216.7761766176839,25999.81,complete_account
hk,0.005,2025-01-28,2025-02-05,00737.HK,buy,0.09371476745787491,10.948034689194,1.84,1.0259925250185635,0.005129962625092818,215.74505413004024,1484.5,complete_account
hk,0.005,2025-01-28,2025-02-05,00939.HK,buy,1.2035080456016682,18.132808389613,6.32,21.822980786252675,0.10911490393126337,193.81295843985632,16259313.0,complete_account
