market,fee_per_side,date,signal_date,equity_before_trades,cash,holdings_value,equity,net_value,cash_weight,signal_exclusion_reserved_cash,trade_gross,fees_paid,held_stocks,pending_orders,stale_market_value,max_stale_trading_days,benchmark_close,benchmark_nav,account_evidence_status
hk,0.005,2024-02-29,2024-01-31,1267139.3720973635,130312.76921887827,1136816.939378485,1267129.7085973634,1.2671297085973634,0.10284090755249255,0.0,1932.7,9.6635,15,2,55.99999999999999,5,16511.44,0.6280100777127973,complete_account
hk,0.005,2024-03-01,2024-02-29,1274320.4243631347,57178.71506140275,1215290.5552873884,1272469.270348791,1.272469270348791,0.04493524236206485,0.0,370230.8028686597,1851.1540143432985,18,6,0.0,0,16589.44,0.6309767957011495,complete_account
hk,0.005,2024-03-04,2024-02-29,1277997.0896045233,69902.5272588331,1207546.6720331404,1277449.1992919736,1.2774491992919736,0.05472039694226321,0.0,109578.06250998027,547.8903125499014,17,5,27.999999999999996,1,16595.97,0.6312251632455591,complete_account
hk,0.005,2024-03-05,2024-02-29,1269311.293350668,51225.915986050866,1217980.5534279365,1269206.4694139874,1.2692064694139873,0.04036058531099568,0.0,20964.787336101734,104.82393668050868,17,4,27.999999999999996,2,16162.64,0.6147435234264224,complete_account
hk,0.005,2024-03-06,2024-02-29,1271234.6332169692,40369.88248605087,1230796.6172309183,1271166.4997169692,1.2711664997169692,0.03175813907543929,0.0,13626.699999999999,68.1335,16,3,0.0,0,16438.09,0.6252202217583661,complete_account
hk,0.005,2024-03-07,2024-02-29,1280046.010005268,25213.63564774024,1254741.936313556,1279955.5719612963,1.2799555719612963,0.019698836584698783,0.0,18087.608794338936,90.43804397169468,16,2,0.0,0,16229.78,0.6172971829871655,complete_account
hk,0.005,2024-03-08,2024-02-29,1279761.5716958956,16495.85164774024,1263210.3360481553,1279706.1876958956,1.2797061876958955,0.012890342960239129,0.0,11076.800000000001,55.38400000000001,16,2,0.0,0,16353.39,0.6219986703017837,complete_account
hk,0.005,2024-03-11,2024-02-29,1284782.6213916752,8863.50514774024,1275869.469743935,1284732.9748916752,1.2847329748916752,0.006899103020600513,0.0,9929.3,49.6465,16,2,0.0,0,16587.57,0.630905670539121,complete_account
hk,0.005,2024-03-12,2024-02-29,1289245.35490482,6414.82114774024,1282802.0497570797,1289216.87090482,1.28921687090482,0.004975750234511034,0.0,5696.8,28.484,16,2,0.0,0,17093.5,0.6501486401781856,complete_account
hk,0.005,2024-03-13,2024-02-29,1289010.732501268,-9.094947017729282e-13,1288966.8597592392,1288966.8597592392,1.2889668597592392,-7.055997560269385e-19,0.0,8774.548405711683,43.87274202855841,16,2,0.0,0,17082.11,0.6497154232821942,complete_account
hk,0.005,2024-03-14,2024-02-29,1298058.074585419,-2.2737367544323206e-13,1298045.8208540757,1298045.8208540757,1.2980458208540757,-1.7516613958483139e-19,0.0,2450.746268656716,12.25373134328358,16,2,0.0,0,16961.66,0.6451341260809503,complete_account
